InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,Region,Price
1x-RTXA6000,4.0,48.0,RTXA6000,1.0,US,0.69
2x-RTXA6000,8.0,96.0,RTXA6000,2.0,US,0.69
4x-RTXA6000,16.0,192.0,RTXA6000,4.0,US,0.69
8x-RTXA6000,32.0,384.0,RTXA6000,8.0,US,0.69
1x-RTXA5000,4.0,24.0,RTXA5000,1.0,NO,0.34
2x-RTXA5000,8.0,48.0,RTXA5000,2.0,NO,0.34
4x-RTXA5000,16.0,96.0,RTXA5000,4.0,NO,0.34
8x-RTXA5000,32.0,192.0,RTXA5000,8.0,NO,0.34
1x-RTXA4000,4.0,16.0,RTXA4000,1.0,NO,0.27
2x-RTXA4000,8.0,32.0,RTXA4000,2.0,NO,0.27
4x-RTXA4000,16.0,64.0,RTXA4000,4.0,NO,0.27
8x-RTXA4000,32.0,128.0,RTXA4000,8.0,NO,0.27
1x-RTXA6000,4.0,48.0,RTXA6000,1.0,CA,0.69
2x-RTXA6000,8.0,96.0,RTXA6000,2.0,CA,0.69
4x-RTXA6000,16.0,192.0,RTXA6000,4.0,CA,0.69
8x-RTXA6000,32.0,384.0,RTXA6000,8.0,CA,0.69
1x-L40,4.0,48.0,L40,1.0,US,0.5
2x-L40,8.0,96.0,L40,2.0,US,0.5
4x-L40,16.0,192.0,L40,4.0,US,0.5
8x-L40,32.0,384.0,L40,8.0,US,0.5
1x-A100-80GB,4.0,80.0,A100-80GB,1.0,CA,1.69
2x-A100-80GB,8.0,160.0,A100-80GB,2.0,CA,1.69
4x-A100-80GB,16.0,320.0,A100-80GB,4.0,CA,1.69
8x-A100-80GB,32.0,640.0,A100-80GB,8.0,CA,1.69
1x-A100-80GB,4.0,80.0,A100-80GB,1.0,US,1.69
2x-A100-80GB,8.0,160.0,A100-80GB,2.0,US,1.69
4x-A100-80GB,16.0,320.0,A100-80GB,4.0,US,1.69
8x-A100-80GB,32.0,640.0,A100-80GB,8.0,US,1.69
1x-RTXA6000,4.0,48.0,RTXA6000,1.0,SE,0.69
2x-RTXA6000,8.0,96.0,RTXA6000,2.0,SE,0.69
4x-RTXA6000,16.0,192.0,RTXA6000,4.0,SE,0.69
8x-RTXA6000,32.0,384.0,RTXA6000,8.0,SE,0.69
1x-RTXA4000,4.0,16.0,RTXA4000,1.0,CA,0.27
2x-RTXA4000,8.0,32.0,RTXA4000,2.0,CA,0.27
4x-RTXA4000,16.0,64.0,RTXA4000,4.0,CA,0.27
8x-RTXA4000,32.0,128.0,RTXA4000,8.0,CA,0.27
